Version_Date,Status,Script,Filename,Folder,Language
25.09.2025,Active,Cyrillic,Универсальныи_договор_узб_25.09.2025.pdf,contracts/individuals/universal,Uzbek
12.08.2025,Active,Cyrillic,Универсальныи_договор_узб_12.08.2025.pdf,contracts/individuals/universal,Uzbek
01.11.2024,Active,Cyrillic,Универсальныи_договор_от_01_11_2024_УЗБ_2.pdf,contracts/individuals/universal,Uzbek
19.08.2024,Active,Cyrillic,Универсальныи_договор_от_19_08_2024_УЗБ.pdf,contracts/individuals/universal,Uzbek
31.07.2024,Active,Latin,ДКБО-31.07.2024 (обновленныи)(uz-Latn).pdf,contracts/individuals/universal,Uzbek
10.07.2024,Active,Cyrillic,Универсальныи_договор_от_10_07_2024_УЗБ_3.pdf,contracts/individuals/universal,Uzbek
30.05.2024,Active,Cyrillic,Universal_shartnoma_30.05.2024 yil.pdf,contracts/individuals/universal,Uzbek
01.07.2023,Active,Cyrillic,Jismoniy_shaxslar_uchun_Universal_Shartnoma_01.07.2023 dan.pdf,contracts/individuals/universal,Uzbek
03.02.2023,Stopped (Inactive),Cyrillic,[Toxtatildi] Stimul avto aksiyasini otkazish qoidalari 03.02.2023.pdf,promotions/stimul,Uzbek
07.12.2022,Stopped (Inactive),Latin,[Toxtatildi] Stimul Light aksiyasini otkazish qoidalari 07.12.2022.pdf,promotions/stimul,Uzbek
25.11.2022,Stopped (Inactive),Latin,[Toxtatildi] Stimul aksiyasini otkazish qoidalari 25.11.2022.pdf,promotions/stimul,Uzbek
18.11.2022,Active,Cyrillic,Jismoniy shaxslar uchun universal shartnoma 18.11.2022.pdf,contracts/individuals/universal,Russian

