chunk_id,document_filename,document_date,document_language,section_number,detected_script,chunk_words,compliance_flags
Универсальныи_договор_узб_25.09.2025__chunk_0,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,155,[]
Универсальныи_договор_узб_25.09.2025__chunk_1,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,1.1.,Cyrillic,36,[]
Универсальныи_договор_узб_25.09.2025__chunk_2,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,71,[]
Универсальныи_договор_узб_25.09.2025__chunk_3,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,46,[]
Универсальныи_договор_узб_25.09.2025__chunk_4,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_5,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,33,[]
Универсальныи_договор_узб_25.09.2025__chunk_6,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,24,[]
Универсальныи_договор_узб_25.09.2025__chunk_7,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_8,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_9,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,46,[]
Универсальныи_договор_узб_25.09.2025__chunk_10,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_11,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_12,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_13,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,100,[]
Универсальныи_договор_узб_25.09.2025__chunk_14,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,53,[]
Универсальныи_договор_узб_25.09.2025__chunk_15,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,10,[]
Универсальныи_договор_узб_25.09.2025__chunk_16,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_17,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_18,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,35,[]
Универсальныи_договор_узб_25.09.2025__chunk_19,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,42,[]
Универсальныи_договор_узб_25.09.2025__chunk_20,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,25,[]
Универсальныи_договор_узб_25.09.2025__chunk_21,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_22,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,43,[]
Универсальныи_договор_узб_25.09.2025__chunk_23,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,22,[]
Универсальныи_договор_узб_25.09.2025__chunk_24,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,91,[]
